acry,full_form
A,ampere
A,analog
A,analog signal
A&A,advertise and award
A&CO,activation and checkout
A&COTA,assembly and checkout technical analysis
A&E,architects and engineers
A&E,architectural and engineering
A&L,approach and landing
A&P,airframe and power plant
A&P,attitude and pointing
A&PS,Administration and Program Support (MSFC directorate)
A&R,assembly and recycle
A&R,automation and robotics
A&RC,application and resource control
A&S,alignment and stabilization
A&SS,alignment and stabilization subsystem
A&T,assembly and test
A&TA,assembly and test area
A-G,air-to-ground
A/A,air-to-air
A/A,airplane avionics
A/A,analog-to-analog
A/A,angular accelerometer
A/B,airborne
A/C,air conditioning
A/C,aircraft
A/C,associate contractor
A/D,analog-to-digital
A/F,air-to-fuel ratio
A/F,airframe
A/FM,arm ﬁring mechanism
A/G,air-to-ground
A/J,antijam
A/L,airlock
A/L,approach and landing
A/L,autoland
A/M,area to mass
A/M,auto/manual
A/N,account name
A/N,alphanumeric
A/O,analog output
A/P,airport
A/P,autopilot
A/R,as required
A/R,autoland roll-out
A/S,acquisition sensor
A/S,airspeed
A/S,arm/safe
A/S,ascent stage
A/S,auxiliary stage
AA,accelerated assembly
AA,associate administrator
AA,accelerometer assembly
AA,air-to-air
AA,airplane avionics
AA,American Airlines
AA,angular accelerometer
AA,antiaircraft
AA,Associate of Arts degree
AA/AL,airplane avionics/autoland
AA/AL,automatic approach/autoland
AAA,"allocations, assessments, and analysis"
AAA,astronaut-actuated abort
AABNCP,Advanced Airborne National Command Post
AACCS,analytical approach to candidate constellation selection
AACPSM,actual average cost per successful mission
AACS,attitude and antenna control system
AADEW,attack assessment for directed-energy weapon
AADR,applications approval design review
AADS,ascent air data system
AADSF,advanced automated directional solidiﬁcation furnace
AAE,abort advisory equipment
AAE,aerospace auxiliary equipment
AAE,American Association of Engineers
AAFE,advanced applications ﬂight equipment
AAIR,advanced atmospheric sounder and imaging radiometer
AAMP,advanced architecture microprocessor
AAMRAM,air-to-air medium-range missile
AAO,Astronaut Activities O
AAP,A
AAP,A
AAP,airlock adapter plate
AAP,analog autopilot
AAP,assemble at pad
AAS,abort advisory system
AAS,advanced antenna system
AASM,Association of American Steel Manufacturers
AB,adapter booster
AB,afterburner
AB,air bearing
AB,airborne
AB,anchor bolt
AB,autobeacon
AB,avionics bay
ABA,"dc ampliﬁer, bu"
ABC,Ada browse capability
ABC,automatic brightness control
ABCAS,algorithm beam center and shape
ABCF,as-built conﬁguration ﬁle
ABCL,as-built conﬁguration list
ABCP,airborne command post
ABCR,as-built conﬁguration record
ABD,Airborne Ballistics Division (NASA)
ABE,air-based electronics
ABE,air-breathing engine
ABE,arm-based electronics
ABERT,auto bit error rate test
ABES,air-breathing engine system
ABETS,airborne beacon test set
ABI,avionics bus interface
ABJIT,algorithm beam jitter
ABL,airborne laser
ABL,aircraft-based laser
ABLE,airborne laser evaluation
ABLOS,algorithm beam line of sight
ABM,acquisition bus monitor
ABM,advance bill of materials
ABM,antiballistic missile
ABM,apogee boost motor
ABMA,Army Ballistic Missile Agency
ABMCP,airborne military command post
ABMO,Antiballistic Missile O
ABNCP,Airborne National Command Post
ABPS,air-breathing propulsion system
ABRES,antiballistic reentry system
ABS,air-break switch
ABS,ammonia boiler system (subsystem)
ABT,air-bearing table
ABTCU,active baseplate thermal control unit
AC,advanced composite
AC,aerodynamic center
AC,application controller
AC,assembly complete
AC,audio center
AC,auxiliary computer
ACA,altitude controller assembly
ACA,annunciator control assembly
ACA,Associate Contractor Administration
ACA,attitude controller assembly
ACA,auxiliary crew compartment
ACAP,Advanced Computer Airframe Program
ACB,air-cushion barge
ACC,advanced carbon-carbon
ACC,aft cargo compartment
ACC,automatic control console
ACC,auxiliary crew compartment
ACCE,augmented continuous control evaluator
ACCESS,assembly concept for construction of erectable space
ACCN,audit central control network
ACCS,adaptive communication control subsystem
ACCU,audio central control unit
ACD,accuracy control document
ACD,anti-carryover device
ACD,architectural control document
ACDA,Arms Control and Disarmament Agency
ACDNS,"attitude control, determination, and navigation"
ACDS,attitude control and determination system (subsystem)
ACE,acceptance checkout equipment
ACE,actual average cost per successful mission
ACE,attitude control electronics
ACE,automatic checkout equipment
ACEL,Air Crew Equipment Laboratory (U.S. Navy)
ACES,acceptance checkout and evaluation system
ACES,acceptance control equipment section
ACES,automatic checkout equipment sequencer
ACEU,aerocontrol electronics unit
ACF,American Car and Foundry
ACI,age-controlled item
ACI,allocated conﬁguration identiﬁcation
ACIL,automatic controlled instrument landing
ACIP,aerodynamic coe
ACIP,aerodynamic coe
ACL,access control list
ACL,allowable container load
ACL,ascent closed loop
ACLC,adaptive communication live controller
ACLS,automated control and landing system
ACM,acquisition control module
ACM,actual average cost per successful mission
ACM,Association of Computing Machinery
ACM,auxiliary core memory
ACMA,Army class managing activity
ACMB,Applications Conﬁguration Management Board
ACME,attitude control and maneuvering electronics
ACMS,automated conﬁguration management system
ACN,acceptance change notice
ACN,Ascension Island (STDN)
ACO,acceptance checkout
ACO,administrative contracting o
ACO,assembly checkout
ACP,airborne command post
ACP,astronaut control panel
ACP,audio control panel
ACPL,assembly component parts list
ACPM,associate contractor program manager
ACPM,attitude control propulsion motor
ACPO,Associate Contractor Project O
ACPS,attitude control propulsion system
ACR,actual cost report
ACRC,assured crew return capability
ACRES,automated change request and evaluation system
ACRIM,active cavity radiometer irradiance monitor
ACRS,accelerated cost recovery system
ACRS,Advisory Committee on Reactor Safeguards
ACRV,assured crew return vehicle
ACS,advanced combat system
ACS,aft crew station
ACS,alternating current synchronous
ACS,altitude control and stabilization
ACS,American Chemical Society
ACS,atmosphere control system
ACS,attitude control and stabilization
ACS,attitude control system
ACS,automated control system
ACSN,advance change schedule notice
ACSN,advance change/study notice
ACSU,alternating-current switching unit
ACT,acquisition coarse tracker
ACT,"acquisition, control, and test"
ACT,audio center transmission
ACTA,activate test article
ACTS,acquisition coarse tracker subsystem
ACTS,advanced communication technology satellite
ACU,annunciator control unit
ACU,avionics cooling unit
ACUO,avionics cooling unit operator
ACV,air-cushion vehicle
ACWP,actual cost for work performed
AD,Administrative Operations and Support Service (KSC
AD,advanced development
AD,air density
AD,associate director
ADA,adaptive diagnostic authoring
ADA,azimuth drive assembly
ADABECS,airborne demonstration advanced beam extraction am
ADAC,attitude determination and control
ADACS,attitude determination and control system
ADADL,Ada design and documentation language
ADAES,advanced data assessment expert system
ADAM,automated distributed architecture model
ADAMS,automated dynamic analysis of mechanical systems
ADAP,aerodynamic data analysis program
ADAP,automated data analysis program
ADB,Aerodynamic Data Book
ADB,auxiliary memory data output bus
ADC,Aerospace Defense Command
ADC,Air Defense Command
ADC,air data computer
ADC,analog-to-digital computer
ADC,analog-to-digital converter
ADC,attitude determination and control
ADCN,"attitude determination, control, and navigation"
ADCOM,Air Defense Command
ADCR,applicable document contractual record
ADCS,attitude determinate control system
ADCS,attitude determination and control subsystem
